タイムスタンプ,1. あなたは現在、大学生または大学院生ですか,2. 学年を教えてください,3. 熱海を知っていますか,4. これまでに熱海市を訪れたことがありますか,5. 熱海への旅行を検討したことがありますか,6. 今、旅行に行きたい気持ちはどのくらいですか,7. 旅行の障壁になることは何ですか（複数選択可）,8. 熱海で次にしてみたいことは何ですか（複数選択可）,9. 熱海にまた行きたいと思いますか,10. 平日に熱海を訪れることはできますか
2026/06/27 23:08:22,学部生,学部3年,名前は知っている,ある,検討したことがある,5 - とても行きたい,"お金がない, まとまった時間がない, 特にない","温泉, 海鮮・グルメ, レトロな街歩き",3 - どちらともいえない,できない
2026/06/21 11:54:14,学部生,学部1年,よく知っている,ある,検討したことがある,1 - 全く行きたくない,"何ができるのか分からない, 一緒に行く人がいない, 特にない","温泉, 海鮮・グルメ, 花火大会",3 - どちらともいえない,授業次第でできる
2026/06/29 04:39:24,学部生,学部4年,よく知っている,ある,検討したことがある,5 - とても行きたい,"お金がない, まとまった時間がない, 特にない","温泉, カフェ巡り, 特にない",3 - どちらともいえない,授業次第でできる
2026/06/26 04:29:30,大学院生,修士2年,よく知っている,ない,検討したことはない,4 - やや行きたい,"お金がない, 何ができるのか分からない, 特にない","カフェ巡り, 特にない",,授業次第でできる
2026/06/28 19:52:57,学部生,学部4年,よく知っている,ない,検討したことがある,4 - やや行きたい,お金がない,"温泉, カフェ巡り, 花火大会",,できない
2026/07/03 22:05:57,学部生,学部4年,名前は知っている,ない,検討したことがある,4 - やや行きたい,お金がない,"海鮮・グルメ, 海辺の散歩, レトロな街歩き, 特にない",,できない
2026/06/21 13:49:48,学部生,学部4年,名前は知っている,ない,検討したことがある,4 - やや行きたい,"お金がない, まとまった時間がない, 特にない",花火大会,,できる
2026/06/28 10:40:50,学部生,学部2年,よく知っている,ある,検討したことがある,4 - やや行きたい,"お金がない, 何ができるのか分からない","海鮮・グルメ, カフェ巡り, レトロな街歩き",5 - とても思う,できる
2026/06/21 05:08:08,学部生,学部4年,名前は知っている,ある,,5 - とても行きたい,まとまった時間がない,"海辺の散歩, カフェ巡り, レトロな街歩き",1 - 全く思わない,できる
2026/06/24 03:08:11,大学院生,修士2年,よく知っている,ない,検討したことがある,1 - 全く行きたくない,"お金がない, 何ができるのか分からない","温泉, レトロな街歩き, 特にない",,できる
2026/07/01 04:24:35,大学院生,修士1年,名前は知っている,ない,検討したことはない,5 - とても行きたい,"まとまった時間がない, 一緒に行く人がいない","レトロな街歩き, 花火大会",,授業次第でできる
2026/06/23 03:35:04,学部生,学部3年,名前は知っている,ある,,3 - どちらともいえない,"お金がない, 特にない",海鮮・グルメ,4 - やや思う,できる
